overall_rank,position,position_rank,name,team,auction_value,bye_week,source_last_update_date
73,TE,7,Sam LaPorta,DET,6,6,7/23/2026
74,QB,6,Joe Burrow,CIN,5,6,7/23/2026
75,QB,7,Jaxson Dart,NYG,5,8,7/23/2026
76,WR,35,Parker Washington,JAC,5,7,7/23/2026
77,WR,36,Christian Watson,GB,5,11,7/23/2026
78,WR,37,Matthew Golden,GB,4,11,7/23/2026
79,WR,38,Mike Evans,SF,4,8,7/23/2026
80,WR,39,Brian Thomas Jr.,JAC,4,7,7/23/2026
81,WR,40,Jakobi Meyers,JAC,4,7,7/23/2026
82,QB,8,Trevor Lawrence,JAC,4,7,7/23/2026
83,QB,9,Dak Prescott,DAL,4,14,7/23/2026
84,QB,10,Bo Nix,DEN,4,10,7/23/2026
85,QB,11,Brock Purdy,SF,4,8,7/23/2026
86,QB,12,Matthew Stafford,LAR,4,11,7/23/2026
87,QB,13,Caleb Williams,CHI,3,10,7/23/2026
88,WR,41,Wan'Dale Robinson,TEN,3,9,7/23/2026
89,WR,42,Makai Lemon,PHI,3,10,7/23/2026
90,WR,43,Michael Wilson,ARI,3,14,7/23/2026
91,WR,44,Ricky Pearsall,SF,3,8,7/23/2026
92,WR,45,Jordan Addison,MIN,3,6,7/23/2026
93,QB,14,Justin Herbert,LAC,3,7,7/23/2026
94,QB,15,Patrick Mahomes,KC,3,5,7/23/2026
95,RB,28,Jaylen Warren,PIT,3,9,7/23/2026
96,RB,29,Rhamondre Stevenson,NE,2,11,7/23/2026
97,RB,30,Rico Dowdle,PIT,2,9,7/23/2026
98,RB,31,Chuba Hubbard,CAR,2,5,7/23/2026
99,RB,32,Aaron Jones Sr.,MIN,2,6,7/23/2026
100,RB,33,Kenny Gainwell,TB,2,10,7/23/2026
101,TE,8,George Kittle,SF,2,8,7/23/2026
102,TE,9,Dallas Goedert,PHI,2,10,7/23/2026
103,TE,10,Travis Kelce,KC,2,5,7/23/2026
104,TE,11,Jake Ferguson,DAL,2,14,7/23/2026
105,RB,34,Rachaad White,WAS,2,7,7/23/2026
106,RB,35,J.K. Dobbins,DEN,2,10,7/23/2026
107,RB,36,RJ Harvey,DEN,2,10,7/23/2026
108,RB,37,Kyle Monangai,CHI,2,10,7/23/2026
109,TE,12,Mark Andrews,BAL,2,13,7/23/2026
110,TE,13,Tucker Kraft,GB,2,11,7/23/2026
111,TE,14,T.J. Hockenson,MIN,2,6,7/23/2026
112,WR,46,Khalil Shakir,BUF,2,7,7/23/2026
113,WR,47,Jayden Reed,GB,2,11,7/23/2026
114,WR,48,Josh Downs,IND,2,13,7/23/2026
115,RB,38,Jonathon Brooks,CAR,2,5,7/23/2026
116,TE,15,Kenyon Sadiq,NYJ,2,13,7/23/2026
117,TE,16,Isaiah Likely,NYG,2,8,7/23/2026
118,TE,17,Dalton Kincaid,BUF,2,7,7/23/2026
119,TE,18,Hunter Henry,NE,2,11,7/23/2026
120,RB,39,Jacory Croskey-Merritt,WAS,2,7,7/23/2026
121,RB,40,Blake Corum,LAR,1,11,7/23/2026
122,RB,41,Woody Marks,HOU,1,8,7/23/2026
123,RB,42,Jordan Mason,MIN,1,6,7/23/2026
124,WR,49,KC Concepcion,CLE,1,11,7/23/2026
125,WR,50,Chris Godwin Jr.,TB,1,10,7/23/2026
126,WR,51,Xavier Worthy,KC,1,5,7/23/2026
127,WR,52,Romeo Doubs,NE,1,11,7/23/2026
128,WR,53,Quentin Johnston,LAC,1,7,7/23/2026
129,WR,54,Jayden Higgins,HOU,1,8,7/23/2026
130,WR,55,Jerry Jeudy,CLE,1,11,7/23/2026
131,WR,56,Jalen Coker,CAR,1,5,7/23/2026
132,WR,57,Rashid Shaheed,SEA,1,11,7/23/2026
133,QB,16,Kyler Murray,MIN,1,6,7/23/2026
134,QB,17,Tyler Shough,NO,1,8,7/23/2026
135,QB,18,Daniel Jones,IND,1,13,7/23/2026
136,QB,19,Jared Goff,DET,1,6,7/23/2026
137,RB,43,Zach Charbonnet,SEA,1,11,7/23/2026
138,RB,44,Alvin Kamara,NO,1,8,7/23/2026
139,RB,45,Isiah Pacheco,DET,1,6,7/23/2026
140,RB,46,Chris Rodriguez Jr.,JAC,1,7,7/23/2026
141,RB,47,Braelon Allen,NYJ,1,13,7/23/2026
142,RB,48,Tank Bigsby,PHI,1,10,7/23/2026
143,WR,58,Jalen McMillan,TB,1,10,7/23/2026
144,WR,59,Calvin Ridley,TEN,1,9,7/23/2026
145,WR,60,Denzel Boston,CLE,1,11,7/23/2026
146,WR,61,Travis Hunter,JAC,1,7,7/23/2026
147,WR,62,Germie Bernard,PIT,1,9,7/23/2026
148,WR,63,Antonio Williams,WAS,1,7,7/23/2026
149,QB,20,Baker Mayfield,TB,1,10,7/23/2026
150,QB,21,Malik Willis,MIA,1,6,7/23/2026
151,WR,64,Adonai Mitchell,NYJ,1,13,7/23/2026
152,WR,65,Omar Cooper Jr.,NYJ,1,13,7/23/2026
153,WR,66,Tre Tucker,LV,1,13,7/23/2026
154,RB,49,Mike Washington Jr.,LV,1,13,7/23/2026
155,RB,50,Ray Davis,BUF,1,7,7/23/2026
156,RB,51,Tyrone Tracy Jr.,NYG,1,8,7/23/2026
157,RB,52,Brian Robinson Jr.,ATL,1,11,7/23/2026
158,RB,53,Tyjae Spears,TEN,1,9,7/23/2026
159,TE,19,Terrance Ferguson,LAR,1,11,7/23/2026
160,TE,20,Juwan Johnson,NO,1,8,7/23/2026
161,WR,67,Jalen Nailor,LV,0,13,7/23/2026
162,WR,68,Rashod Bateman,BAL,0,13,7/23/2026
163,WR,69,Jauan Jennings,MIN,0,6,7/23/2026
164,WR,70,Jaylin Noel,HOU,0,8,7/23/2026
165,WR,71,Darnell Mooney,NYG,0,8,7/23/2026
166,RB,54,Tyler Allgeier,ARI,0,14,7/23/2026
167,RB,55,James Conner,ARI,0,14,7/23/2026
168,RB,56,Keaton Mitchell,LAC,0,7,7/23/2026
169,DST,1,Broncos D/ST,DEN,0,10,7/23/2026
170,DST,2,Texans D/ST,HOU,0,8,7/23/2026
171,DST,3,Steelers D/ST,PIT,0,9,7/23/2026
172,DST,4,Seahawks D/ST,SEA,0,11,7/23/2026
173,DST,5,Rams D/ST,LAR,0,11,7/23/2026
174,DST,6,Ravens D/ST,BAL,0,13,7/23/2026
175,DST,7,Eagles D/ST,PHI,0,10,7/23/2026
176,DST,8,Browns D/ST,CLE,0,11,7/23/2026
177,DST,9,Patriots D/ST,NE,0,11,7/23/2026
178,DST,10,Lions D/ST,DET,0,6,7/23/2026
179,DST,11,Chiefs D/ST,KC,0,5,7/23/2026
180,DST,12,Chargers D/ST,LAC,0,7,7/23/2026
181,K,1,Brandon Aubrey,DAL,0,14,7/23/2026
182,K,2,Cameron Dicker,LAC,0,7,7/23/2026
183,K,3,Jason Myers,SEA,0,11,7/23/2026
184,K,4,Harrison Mevis,LAR,0,11,7/23/2026
185,K,5,Ka'imi Fairbairn,HOU,0,8,7/23/2026
186,K,6,Eddy Pineiro,SF,0,8,7/23/2026
187,K,7,Harrison Butker,KC,0,5,7/23/2026
188,K,8,Cam Little,JAC,0,7,7/23/2026
189,K,9,Jake Bates,DET,0,6,7/23/2026
190,K,10,Tyler Loop,BAL,0,13,7/23/2026
191,K,11,Cairo Santos,CHI,0,10,7/23/2026
192,K,12,Will Reichard,MIN,0,6,7/23/2026
193,RB,57,Justice Hill,BAL,0,13,7/23/2026
194,TE,21,Brenton Strange,JAC,0,7,7/23/2026
195,RB,58,Jordan James,SF,0,8,7/23/2026
196,RB,59,Kaelon Black,SF,0,8,7/23/2026
197,WR,72,Chris Bell,MIA,0,6,7/23/2026
198,QB,22,Jordan Love,GB,0,11,7/23/2026
199,QB,23,Cam Ward,TEN,0,9,7/23/2026
200,QB,24,C.J. Stroud,HOU,0,8,7/23/2026
201,WR,73,Jack Bech,LV,0,13,7/23/2026
202,WR,74,Deebo Samuel Sr.,FA,0,0,7/23/2026
203,WR,75,Stefon Diggs,FA,0,0,7/23/2026
204,WR,76,Tre Harris,LAC,0,7,7/23/2026
205,WR,77,Isaac TeSlaa,DET,0,6,7/23/2026
206,TE,22,Pat Freiermuth,PIT,0,9,7/23/2026
207,TE,23,Dalton Schultz,HOU,0,8,7/23/2026
208,WR,78,Ryan Flournoy,DAL,0,14,7/23/2026
209,WR,79,Brandon Aiyuk,SF,0,8,7/23/2026
210,WR,80,Cooper Kupp,SEA,0,11,7/23/2026
211,WR,81,Tank Dell,HOU,0,8,7/23/2026
212,RB,60,Kaytron Allen,WAS,0,7,7/23/2026
213,RB,61,Nicholas Singleton,TEN,0,9,7/23/2026
214,RB,62,Demond Claiborne,MIN,0,6,7/23/2026
215,TE,24,Gunnar Helm,TEN,0,9,7/23/2026
216,TE,25,Oronde Gadsden,LAC,0,7,7/23/2026
217,TE,26,Chig Okonkwo,WAS,0,7,7/23/2026
218,QB,25,Sam Darnold,SEA,0,11,7/23/2026
219,QB,26,Bryce Young,CAR,0,5,7/23/2026
220,QB,27,Fernando Mendoza,LV,0,13,7/23/2026
221,RB,63,Jonah Coleman,DEN,0,10,7/23/2026
222,RB,64,Seth McGowan,IND,0,13,7/23/2026
223,RB,65,Emmett Johnson,KC,0,5,7/23/2026
224,WR,82,Zachariah Branch,ATL,0,11,7/23/2026
225,RB,66,Dylan Sampson,CLE,0,11,7/23/2026
226,RB,67,Samaje Perine,CIN,0,6,7/23/2026
227,WR,83,Caleb Douglas,MIA,0,6,7/23/2026
228,WR,84,Jalen Tolbert,MIA,0,6,7/23/2026
229,WR,85,Malik Washington,MIA,0,6,7/23/2026
230,WR,86,Christian Kirk,SF,0,8,7/23/2026
231,WR,87,Savion Williams,GB,0,11,7/23/2026
232,WR,88,Chris Brazzell II,CAR,0,5,7/23/2026
233,WR,89,Tyreek Hill,FA,0,0,7/23/2026
234,WR,90,De'Zhaun Stribling,SF,0,8,7/23/2026
235,DST,13,Buccaneers D/ST,TB,0,10,7/23/2026
236,DST,14,Packers D/ST,GB,0,11,7/23/2026
237,K,13,Chris Boswell,PIT,0,9,7/23/2026
238,K,14,Chase McLaughlin,TB,0,10,7/23/2026
239,RB,68,LeQuint Allen,JAC,0,7,7/23/2026
240,RB,69,Jaylen Wright,MIA,0,6,7/23/2026
241,RB,70,Ollie Gordon II,MIA,0,6,7/23/2026
242,RB,71,Kimani Vidal,LAC,0,7,7/23/2026
243,RB,72,Adam Randall,BAL,0,13,7/23/2026
244,RB,73,MarShawn Lloyd,GB,0,11,7/23/2026
245,RB,74,Emari Demercado,KC,0,5,7/23/2026
246,RB,75,Jaydon Blue,DAL,0,14,7/23/2026
247,RB,76,Trey Benson,ARI,0,14,7/23/2026
248,RB,77,Kaleb Johnson,PIT,0,9,7/23/2026
249,RB,78,Ty Johnson,BUF,0,7,7/23/2026
250,RB,79,Kyle Juszczyk,SF,0,8,7/23/2026
251,RB,80,Chris Brooks,GB,0,11,7/23/2026
252,WR,91,Xavier Legette,CAR,0,5,7/23/2026
253,WR,92,Pat Bryant,DEN,0,10,7/23/2026
254,DST,15,Jaguars D/ST,JAC,0,7,7/23/2026
255,DST,16,Colts D/ST,IND,0,13,7/23/2026
256,K,15,Evan McPherson,CIN,0,6,7/23/2026
257,K,16,Nick Folk,ATL,0,11,7/23/2026
258,TE,27,AJ Barner,SEA,0,11,7/23/2026
259,TE,28,Greg Dulcich,MIA,0,6,7/23/2026
260,TE,29,Cade Otton,TB,0,10,7/23/2026
261,WR,93,Tory Horton,SEA,0,11,7/23/2026
262,WR,94,Ja'Kobi Lane,BAL,0,13,7/23/2026
263,WR,95,Ted Hurst,TB,0,10,7/23/2026
264,WR,96,Keon Coleman,BUF,0,7,7/23/2026
265,RB,81,George Holani,SEA,0,11,7/23/2026
266,RB,82,Isaiah Davis,NYJ,0,13,7/23/2026
267,QB,28,Geno Smith,NYJ,0,13,7/23/2026
268,QB,29,Aaron Rodgers,PIT,0,9,7/23/2026
269,QB,30,Deshaun Watson,CLE,0,11,7/23/2026
270,QB,31,Jacoby Brissett,ARI,0,14,7/23/2026
271,WR,97,Elijah Sarratt,BAL,0,13,7/23/2026
272,WR,98,Dontayvion Wicks,PHI,0,10,7/23/2026
273,WR,99,Kayshon Boutte,NE,0,11,7/23/2026
274,WR,100,Nick Westbrook-Ikhine,IND,0,13,7/23/2026
275,WR,101,Darius Slayton,NYG,0,8,7/23/2026
276,RB,83,DJ Giddens,IND,0,13,7/23/2026
277,RB,84,Malik Davis,DAL,0,14,7/23/2026
278,RB,85,Sean Tucker,TB,0,10,7/23/2026
279,RB,86,Trevor Etienne,CAR,0,5,7/23/2026
280,RB,87,Emanuel Wilson,SEA,0,11,7/23/2026
281,RB,88,Will Shipley,PHI,0,10,7/23/2026
282,RB,89,Devin Singletary,NYG,0,8,7/23/2026
283,RB,90,Hunter Luepke,DAL,0,14,7/23/2026
284,WR,102,Dyami Brown,WAS,0,7,7/23/2026
285,DST,17,Bengals D/ST,CIN,0,6,7/23/2026
286,DST,18,Bears D/ST,CHI,0,10,7/23/2026
287,K,17,Trey Smack,GB,0,11,7/23/2026
288,K,18,Jake Elliott,PHI,0,10,7/23/2026
289,TE,30,Mike Gesicki,CIN,0,6,7/23/2026
290,TE,31,Evan Engram,DEN,0,10,7/23/2026
291,TE,32,David Njoku,LAC,0,7,7/23/2026
292,TE,33,Michael Mayer,LV,0,13,7/23/2026
293,TE,34,Jake Tonges,SF,0,8,7/23/2026
294,WR,103,Jahan Dotson,ATL,0,11,7/23/2026
295,WR,104,Andrei Iosivas,CIN,0,6,7/23/2026
296,QB,32,Tua Tagovailoa,ATL,0,11,7/23/2026
297,DST,19,49ers D/ST,SF,0,8,7/23/2026
298,DST,20,Jets D/ST,NYJ,0,13,7/23/2026
299,DST,21,Saints D/ST,NO,0,8,7/23/2026
300,DST,22,Panthers D/ST,CAR,0,5,7/23/2026
